Supplier,Supplier Domain,Product Name,Preferred Units,Band #,Length (bp),Mass,Note,Total Bands,Product URL
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,1,908,104,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,2,659,76,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,3,656,75,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,4,521,60,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,5,403,46,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,6,281,32,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,7,257,29,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,8,226,26,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,9,100,11,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,10,90,10,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,11,63,7,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,12,57,7,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,13,49,6,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,14,46,5,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,15,19,2,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,16,15,2,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – AluI Digest,bp,17,11,1,,17,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm012-pbr322-dna-alui
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,1,1857,213,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,2,1058,121,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,3,929,107,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,4,383,44,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,5,121,14,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – BstNI Digest,bp,6,13,1,,6,http://www.neb.com/nebecomm/products/productN3031.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,1,587,67,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,2,540,62,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,3,502,58,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,4,458,53,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,5,434,50,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,6,267,31,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,7,234,27,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,8,213,24,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,9,192,22,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,10,184,21,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,11,124,14,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,12,123,14,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,13,104,12,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,14,89,10,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,15,80,9,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,16,64,7,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,17,57,7,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,18,51,6,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,19,21,2,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,20,18,2,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,21,11,1,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – HaeIII Digest,bp,22,8,1,,22,http://www.fermentas.com/en/products/all/dna-electrophoresis/phage-dna-markers/sm027-pbr322-dna-bsuri
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,1,622,71,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,2,527,60,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,3,404,46,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,4,307,35,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,5,242,28,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,6,238,27,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,7,217,25,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,8,201,23,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,9,190,22,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,10,180,21,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,11,160,18,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,12,160,18,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,13,147,17,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,14,147,17,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,15,123,14,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,16,110,13,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,17,90,10,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,18,76,9,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,19,67,8,,26,http://www.neb.com/nebecomm/products/productN3032.asp
Phage and Plasmid Markers,fermentas.com,pBR322 – MspI (HpaII) Digest,bp,20,34,4,,26,http://www.neb.com/nebecomm/products/productN3032.asp
